Refseq,Library,Method,Accession,Length,Mapped,Unmapped
Plasmid4,F5,Bwa-mem,NZ_CP010232.1,155425,13654,28
Plasmid4,F5,Bwa-mem,NZ_CP029744.1,117192,24783,41
Plasmid4,F5,Bwa-mem,NZ_CP027357.1,131463,41424,82
Plasmid5,F5,Bwa-mem,NZ_CP032836.1,76772,1108,2
Plasmid5,F5,Bwa-mem,NZ_CP025708.1,184098,1112,5
Plasmid5,F5,Bwa-mem,NZ_CP034046.1,345775,1183,2
Plasmid5,F5,Bwa-mem,NZ_CP034592.1,76559,1211,1
Plasmid5,F5,Bwa-mem,NZ_CP033847.1,143865,1249,3
Plasmid5,F5,Bwa-mem,NZ_AP018797.1,125200,1268,12
Plasmid5,F5,Bwa-mem,NZ_AP018807.1,37917,1368,2
Plasmid5,F5,Bwa-mem,NZ_AP018811.1,75799,1384,2
Plasmid5,F5,Bwa-mem,NZ_AP018803.1,124261,1392,4
Plasmid5,F5,Bwa-mem,NZ_CP024652.2,107274,1456,4
Plasmid5,F5,Bwa-mem,NZ_AP018805.1,78434,1464,5
Plasmid5,F5,Bwa-mem,NZ_CP032425.1,88392,1656,5
Plasmid5,F5,Bwa-mem,NZ_CP032395.1,164900,1712,5
Plasmid5,F5,Bwa-mem,NZ_CP031766.1,141331,1727,6
Plasmid5,F5,Bwa-mem,NZ_CP027135.1,151026,1755,44
Plasmid5,F5,Bwa-mem,NZ_CP032262.1,75026,1777,4
Plasmid5,F5,Bwa-mem,NZ_CP033634.1,82252,1805,5
Plasmid5,F5,Bwa-mem,NZ_AP018800.1,81004,1812,3
Plasmid5,F5,Bwa-mem,NZ_CP033632.1,147451,1914,5
Plasmid5,F5,Bwa-mem,NZ_CP032835.1,93621,1949,7
Plasmid5,F5,Bwa-mem,NZ_CP033761.1,111938,2118,8
Plasmid5,F5,Bwa-mem,NZ_CP034167.1,136645,2434,5
Plasmid5,F5,Bwa-mem,NZ_CP025844.1,94685,2465,10
Plasmid5,F5,Bwa-mem,NZ_LS997974.1,116575,2486,5
Plasmid5,F5,Bwa-mem,NZ_CP032937.1,101860,2495,3
Plasmid5,F5,Bwa-mem,NZ_CP025861.1,155850,2584,6
Plasmid5,F5,Bwa-mem,NZ_CP023845.1,181324,2642,5
Plasmid5,F5,Bwa-mem,NZ_CP023821.1,113737,2750,5
Plasmid5,F5,Bwa-mem,NZ_CP032877.1,150853,2757,9
Plasmid5,F5,Bwa-mem,NZ_CP032991.1,83867,2943,10
Plasmid5,F5,Bwa-mem,NZ_CP023850.1,138672,3013,12
Plasmid5,F5,Bwa-mem,NZ_CP027130.1,170292,3929,6
Plasmid5,F5,Bwa-mem,NZ_CP032397.1,329264,4025,10
Plasmid5,F5,Bwa-mem,NZ_CP023835.1,152425,4046,7
Plasmid5,F5,Bwa-mem,NZ_CP030782.1,104269,5584,15
Plasmid5,F5,Bwa-mem,NZ_CP017221.1,147225,7081,22
Plasmid5,F5,Bwa-mem,NZ_CP032891.1,67351,12703,30
Plasmid5,F5,Bwa-mem,NZ_CP033091.2,131333,48775,94
Plasmid5,F5,Bwa-mem,NZ_CP032263.1,155784,66036,143
Plasmid1,F20,Bwa-mem,NC_012944.1,138362,1214,7
Plasmid1,F20,Bwa-mem,NC_023326.1,92447,1320,5
Plasmid1,F20,Bwa-mem,NC_025141.1,142875,1628,3
Plasmid1,F20,Bwa-mem,NC_007675.1,184501,2804,11
Plasmid1,F20,Bwa-mem,NC_023327.1,168543,2822,17
Plasmid1,F20,Bwa-mem,NC_011980.1,103275,3843,4
Plasmid1,F20,Bwa-mem,NC_002483.1,99159,3886,7
Plasmid1,F20,Bwa-mem,NC_025179.1,153231,4556,13
Plasmid1,F20,Bwa-mem,NC_014615.1,165657,5674,18
Plasmid1,F20,Bwa-mem,NC_011964.1,124705,5722,14
Plasmid1,F20,Bwa-mem,NZ_CP010316.1,144859,6722,21
Plasmid1,F20,Bwa-mem,NC_020271.1,137728,7395,19
Plasmid1,F20,Bwa-mem,NC_010409.1,151002,8743,16
Plasmid1,F20,Bwa-mem,NC_010488.1,130440,8774,29
Plasmid1,F20,Bwa-mem,NC_009837.1,174241,11852,18
Plasmid1,F20,Bwa-mem,NC_004998.1,125491,12154,20
Plasmid1,F20,Bwa-mem,NC_024956.1,94587,12869,18
Plasmid1,F20,Bwa-mem,NC_025139.1,144925,16343,25
Plasmid1,F20,Bwa-mem,NC_025175.1,166594,32619,65
Plasmid2,F20,Bwa-mem,NC_019122.1,120524,1011,4
Plasmid2,F20,Bwa-mem,NC_019117.1,117278,1021,3
Plasmid2,F20,Bwa-mem,NZ_LN868945.1,147787,1033,35
Plasmid2,F20,Bwa-mem,NZ_CP012928.1,62920,1062,26
Plasmid2,F20,Bwa-mem,NC_013366.1,77690,1107,3
Plasmid2,F20,Bwa-mem,NC_019137.1,107637,1120,8
Plasmid2,F20,Bwa-mem,NC_019105.1,88505,1144,3
Plasmid2,F20,Bwa-mem,NZ_CP011065.1,82288,1146,5
Plasmid2,F20,Bwa-mem,NZ_CP011019.1,207265,1150,5
Plasmid2,F20,Bwa-mem,NZ_CP013657.1,143748,1150,4
Plasmid2,F20,Bwa-mem,NZ_CP015077.1,133735,1152,2
Plasmid2,F20,Bwa-mem,NZ_HG941719.1,135602,1195,1
Plasmid2,F20,Bwa-mem,NZ_CP013833.1,126302,1203,3
Plasmid2,F20,Bwa-mem,NZ_CP014321.1,107507,1223,3
Plasmid2,F20,Bwa-mem,NC_013437.1,117047,1354,7
Plasmid2,F20,Bwa-mem,NZ_CP012683.1,112639,1412,3
Plasmid2,F20,Bwa-mem,NZ_LN868946.1,141119,1436,36
Plasmid2,F20,Bwa-mem,NZ_CP011493.1,140232,1491,1
Plasmid2,F20,Bwa-mem,NZ_CP012835.1,62884,1544,3
Plasmid2,F20,Bwa-mem,NC_006816.1,84514,1667,4
Plasmid2,F20,Bwa-mem,NZ_CP009167.1,108501,1699,2
Plasmid2,F20,Bwa-mem,NZ_CP012632.1,93074,1827,5
Plasmid2,F20,Bwa-mem,NZ_CP013832.1,145221,1870,10
Plasmid2,F20,Bwa-mem,NZ_CP010372.1,151583,2247,3
Plasmid2,F20,Bwa-mem,NZ_CP013026.1,63800,2721,2
Plasmid2,F20,Bwa-mem,NZ_CP010345.1,100061,2757,6
Plasmid2,F20,Bwa-mem,NZ_LN868944.1,727905,4288,128
Plasmid2,F20,Bwa-mem,NZ_CP013027.1,174564,4930,12
Plasmid2,F20,Bwa-mem,NZ_CP005931.1,194170,5225,23
Plasmid2,F20,Bwa-mem,NZ_CP012626.1,110808,5602,18
Plasmid2,F20,Bwa-mem,NZ_CP009579.1,141804,6306,11
Plasmid2,F20,Bwa-mem,NZ_CP012636.1,149683,6891,15
Plasmid2,F20,Bwa-mem,NZ_CP006635.1,161511,7052,15
Plasmid2,F20,Bwa-mem,NZ_CP014489.1,149732,7137,16
Plasmid2,F20,Bwa-mem,NC_018966.1,146002,7190,22
Plasmid2,F20,Bwa-mem,NC_011076.1,146811,7392,17
Plasmid2,F20,Bwa-mem,NC_018954.1,146811,7415,23
Plasmid2,F20,Bwa-mem,NZ_CP014273.1,213924,8408,45
Plasmid2,F20,Bwa-mem,NZ_CP011496.1,67545,8434,21
Plasmid2,F20,Bwa-mem,NZ_CP014271.1,232954,8592,63
Plasmid2,F20,Bwa-mem,NC_017659.1,147060,20148,76
Plasmid3,F20,Bwa-mem,NZ_CP011493.1,140232,1106,3
Plasmid3,F20,Bwa-mem,NZ_CP024860.1,172588,1250,6
Plasmid3,F20,Bwa-mem,NZ_CP021880.1,169449,1279,2
Plasmid3,F20,Bwa-mem,NZ_CP021733.1,114267,1284,2
Plasmid3,F20,Bwa-mem,NZ_CP023372.1,109207,1305,5
Plasmid3,F20,Bwa-mem,NZ_CP023369.1,66332,1398,7
Plasmid3,F20,Bwa-mem,NZ_CP024856.1,181436,1405,5
Plasmid3,F20,Bwa-mem,NZ_CP024285.1,127606,1461,5
Plasmid3,F20,Bwa-mem,NZ_CP024281.1,84894,1464,2
Plasmid3,F20,Bwa-mem,NZ_CP024721.1,111776,1657,8
Plasmid3,F20,Bwa-mem,NZ_CP024287.1,124142,1664,5
Plasmid3,F20,Bwa-mem,NZ_CP024718.1,111779,1682,3
Plasmid3,F20,Bwa-mem,NZ_CP020493.1,264914,1972,9
Plasmid3,F20,Bwa-mem,NZ_CP023367.1,111523,2777,7
Plasmid3,F20,Bwa-mem,NZ_CP015246.1,118513,3443,14
Plasmid3,F20,Bwa-mem,NZ_CP024827.1,122937,5239,13
Plasmid3,F20,Bwa-mem,NZ_CP023384.1,147369,5436,18
Plasmid3,F20,Bwa-mem,NZ_CP022166.1,173624,5841,15
Plasmid3,F20,Bwa-mem,NZ_CP024852.1,167974,6056,14
Plasmid3,F20,Bwa-mem,NZ_CP023389.1,74094,6782,7
Plasmid3,F20,Bwa-mem,NZ_CP023363.1,134388,7247,12
Plasmid3,F20,Bwa-mem,NC_011747.1,133853,9081,30
Plasmid3,F20,Bwa-mem,NZ_AP017621.1,116529,9151,20
Plasmid3,F20,Bwa-mem,NZ_AP017618.1,116529,9411,19
Plasmid3,F20,Bwa-mem,NZ_CP011916.1,110961,12632,19
Plasmid3,F20,Bwa-mem,NZ_CP018775.2,174847,19851,21
Plasmid3,F20,Bwa-mem,NZ_AP017611.1,168972,21924,47
Plasmid4,F20,Bwa-mem,NZ_CP030282.1,111721,1150,2
Plasmid4,F20,Bwa-mem,NZ_LN868946.1,141119,1388,32
Plasmid4,F20,Bwa-mem,NZ_CP030791.1,197773,1578,7
Plasmid4,F20,Bwa-mem,NZ_CP013027.1,174564,1591,4
Plasmid4,F20,Bwa-mem,NZ_CP019055.1,184166,1943,7
Plasmid4,F20,Bwa-mem,NZ_CP026494.1,201203,1981,11
Plasmid4,F20,Bwa-mem,NZ_CP025329.1,286854,2205,4
Plasmid4,F20,Bwa-mem,NZ_CP029748.1,276880,2417,4
Plasmid4,F20,Bwa-mem,NZ_CP006635.1,161511,2425,8
Plasmid4,F20,Bwa-mem,NZ_CP020934.1,151137,2454,3
Plasmid4,F20,Bwa-mem,NZ_CP031107.1,203856,2564,7
Plasmid4,F20,Bwa-mem,NZ_CP024133.1,190293,2584,3
Plasmid4,F20,Bwa-mem,NZ_CP009579.1,141804,2631,8
Plasmid4,F20,Bwa-mem,NZ_CP010141.1,174041,2652,10
Plasmid4,F20,Bwa-mem,NZ_CP012636.1,149683,2901,1
Plasmid4,F20,Bwa-mem,NZ_CP018994.1,154853,3096,10
Plasmid4,F20,Bwa-mem,NC_011076.1,146811,3114,2
Plasmid4,F20,Bwa-mem,NZ_CP014489.1,149732,3144,6
Plasmid4,F20,Bwa-mem,NZ_CP024137.1,107279,3170,2
Plasmid4,F20,Bwa-mem,NZ_CP025403.1,133281,3180,5
Plasmid4,F20,Bwa-mem,NZ_CP026854.1,133843,3462,9
Plasmid4,F20,Bwa-mem,NZ_CP024140.1,166233,3754,6
Plasmid4,F20,Bwa-mem,NZ_CP010149.1,199494,3820,9
Plasmid4,F20,Bwa-mem,NZ_LN868944.1,727905,4267,131
Plasmid4,F20,Bwa-mem,NZ_CP027256.1,103336,4961,12
Plasmid4,F20,Bwa-mem,NC_010488.1,130440,5518,13
Plasmid4,F20,Bwa-mem,NZ_CP010232.1,155425,9520,12
Plasmid4,F20,Bwa-mem,NZ_CP029243.1,146268,9585,21
Plasmid4,F20,Bwa-mem,NZ_CP029744.1,117192,17091,39
Plasmid4,F20,Bwa-mem,NZ_CP027357.1,131463,28554,45
Plasmid5,F20,Bwa-mem,NZ_CP032425.1,88392,1048,2
Plasmid5,F20,Bwa-mem,NZ_CP031766.1,141331,1167,2
Plasmid5,F20,Bwa-mem,NZ_CP033634.1,82252,1172,4
Plasmid5,F20,Bwa-mem,NZ_AP018800.1,81004,1181,5
Plasmid5,F20,Bwa-mem,NZ_CP027135.1,151026,1195,33
Plasmid5,F20,Bwa-mem,NZ_CP032262.1,75026,1256,3
Plasmid5,F20,Bwa-mem,NZ_CP032395.1,164900,1274,1
Plasmid5,F20,Bwa-mem,NZ_CP033632.1,147451,1285,2
Plasmid5,F20,Bwa-mem,NZ_CP032835.1,93621,1353,6
Plasmid5,F20,Bwa-mem,NZ_CP033761.1,111938,1385,3
Plasmid5,F20,Bwa-mem,NZ_CP034167.1,136645,1653,4
Plasmid5,F20,Bwa-mem,NZ_LS997974.1,116575,1662,8
Plasmid5,F20,Bwa-mem,NZ_CP032937.1,101860,1694,8
Plasmid5,F20,Bwa-mem,NZ_CP025844.1,94685,1744,3
Plasmid5,F20,Bwa-mem,NZ_CP023845.1,181324,1807,4
Plasmid5,F20,Bwa-mem,NZ_CP025861.1,155850,1853,7
Plasmid5,F20,Bwa-mem,NZ_CP023821.1,113737,1898,4
Plasmid5,F20,Bwa-mem,NZ_CP032991.1,83867,1963,3
Plasmid5,F20,Bwa-mem,NZ_CP032877.1,150853,1996,4
Plasmid5,F20,Bwa-mem,NZ_CP023850.1,138672,2175,3
Plasmid5,F20,Bwa-mem,NZ_CP032397.1,329264,2661,11
Plasmid5,F20,Bwa-mem,NZ_CP027130.1,170292,2743,7
Plasmid5,F20,Bwa-mem,NZ_CP023835.1,152425,2774,9
Plasmid5,F20,Bwa-mem,NZ_CP030782.1,104269,3498,7
Plasmid5,F20,Bwa-mem,NZ_CP017221.1,147225,4731,21
Plasmid5,F20,Bwa-mem,NZ_CP032891.1,67351,8874,27
Plasmid5,F20,Bwa-mem,NZ_CP033091.2,131333,34035,76
Plasmid5,F20,Bwa-mem,NZ_CP032263.1,155784,46446,127
